,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list
746,Clumsy Love,,,,2019-06-20,2019-07-11,,2019,7,69.0,,"['Choi Si Hun', 'Kim Bum Su']"
747,Love Playlist Season 4,Naver TV Cast vLive,['Yoo Hee Woon'],"['Lee Seul', 'Choi Yo Ji']",2019-06-19,2019-08-10,"Wednesday, Saturday",2019,16,75.0,"The fourth season will show stories that everyone has experienced not only of love, but also enlistment, job hunting, and new human relationships.","['Kim Sae Ron', 'Bae Hyun Sung', 'Lee Yoo Jin', 'Park Jung Woo', 'Park Shi An', 'Kim Hyung Suk']"
748,Multi Personality Girl,,,,2019-06-17,2020-01-23,,2019,6,100.0,,"['Jo Ah Young', 'Choi Eun Ji']"
749,Biggest Fan,vLive,,,2019-06-16,2019-07-07,"Wednesday, Sunday",2019,6,80.0,Yoo Ari and Ahn Do Jun are idol fans and best friends. They become friends with transfer student Jung Yu Hee who becomes a fan of trainee teacher Ahn Jae Hyun. ,"['Yeon Je Hyung', 'Park Seo Yeon', 'Kim Hyun Soo']"
750,Chief of Staff,jTBC Netflix,['Kwak Jung Hwan'],['Lee Dae II'],2019-06-14,2019-07-13,"Friday, Saturday",2019,10,396.0,"Jang Tae Joon graduated from the Korean National Police University and worked as a detective. He wanted to gain more power and decided to work in the National Assembly. Now, he is the chief aide to a 4-time lawmaker. He has excellent intuition, cold-blooded decisiveness and a strong desire to win. He was able to place his lawmaker in the position of party representative, but Jang Tae Joon had higher ambitions.Meanwhile, Kang Sun Young is a first-year lawmaker who got elected through proportional representation and is a spokesperson for her party. She worked as a lawyer and hosted a current affairs TV program prior to becoming a lawmaker. She is ambitious and does her job well. Kang Sun Young has an awkward relationship with Jang Tae Joon, whose boss is a rival of the senior lawmaker who got her to become a proportional representation lawmaker. (Source: AsianWiki)","['Jung Jin Young', 'Lee Elijah', 'Kim Gab Soo', 'Shin Min Ah', 'Lee Jung Jae', 'Kim Dong Jun']"
751,Joseon Survival,TV Chosun,"['Lee Hyung Sun', 'Jang Yong Woo']",['Kim Sol Ji'],2019-06-08,2019-08-17,"Saturday, Sunday",2019,16,244.0,"Joseon Survival is about Han Jung Rok, a former national archer and current deliveryman from 2019. He ends up traveling to the past and meets Im Kkeok Jeong, a famous thief from the Joseon dynasty. Together, they struggle to survive, put their lives at stake for the people they love, and share a strong friendship.","['Kyung Soo Jin', 'Park Se Wan', 'Song Won Seok', 'Kang Ji Hwan', 'Seo Ji Suk']"
752,Search: WWW,tvN,"['Jung Ji Hyun', 'Kwon Young Il']",['Kwon Do Eun'],2019-06-05,2019-07-25,"Wednesday, Thursday",2019,16,262.0,"This drama is about the conflicts, the wins, and losses one experiences when working. It will follow the story of 21st century women, who chose not to be a wife or a mother and successfully work without discrimination or impediments.Bae Ta Mi works as a director for a big web portal company. She is in her late 30's and is quite competitive. With her competitiveness, Ta Mi enjoys success. The methods she uses to win has her wondering if she is doing the right thing with her life. Has she sacrificed too much of her personal life for success?Park Mo Gun is a man in his 20's and is a gifted composer. He creates music for video games. Mo Gun meets Ta Mi at an arcade. He falls in love with her due to her competitive spirit.(Source:  Koreandrama.org and AsianWiki)","['Lee Da Hee', 'Jeon Hye Jin', 'Lee Jae Wook', 'Ji Seung Hyun', 'Jang Ki Yong', 'Im Soo Jung']"
753,A Place in the Sun,KBS2,['Kim Won Yong'],['Lee Eun Joo'],2019-06-03,2019-11-01,"Monday, Tuesday, Wednesday, Thursday, Friday",2019,102,21.0,"Kim Yoo Wol became an orphan and he was raised by foster parents. He worked extremely hard and passed his CPA exam. He enjoys happy days with his girlfriend Yoon Shi Wol, but he has a near-death experience. He changes his life and goes under the alias of Oh Tae Yang. He is dead to Yoon Shi Wol.Meanwhile, Yoon Shi Wol, who believes her boyfriend Kim Yoo Wol is dead, has a difficult time. She begins to work at the conglomerate company Yangji Group. There, she meets Oh Tae Yang.(Source: AsianWiki)","['Oh Chang Seok', 'Yoon So Yi', 'Choi Sung Jae', 'Ha Shi Eun']"
754,Perfume,KBS2,['Kim Sang Hwi'],['Choi Hyun Ok'],2019-06-03,2019-07-23,"Monday, Tuesday",2019,32,66.0,"Seo Yi Do is a top designer. Although he appears to be the perfect man on the outside, his personality leaves something to be desired. On top of that, he has about 52 phobias and 35 allergies. Min Jae Hee is a middle-aged housewife, who has devoted her life to her family only to see it fall apart before her eyes.She discovers a miracle perfume that makes her look young again. After recovering her youth, she ends up walking the runway in one of Seo Yi Do’s fashion shows and signs with a top modeling agency to become a celebrity.Both of them get a second chance at romance in what is described as a fantasy romantic comedy.","['Go Won Hee', 'Cha Ye Ryun', 'Kim Min Gue', 'Shin Sung Rok', 'Ha Jae Sook']"
755,Partners for Justice Season 2,MBC,"['Noh Do Cheol', 'Han Jin Sun']","['Jo Won Gi', 'Min Ji Eun']",2019-06-03,2019-07-29,"Monday, Tuesday",2019,32,66.0,"In crime and in life, all contact leaves a trace. There is no perfect crime and our hero and heroine have the ultimate cooperation. This drama continues the tale of a forensic scientist and a prosecutor who make the best of teams.(Source: HanCinema) ","['Oh Man Suk', 'Jung Jae Young', 'Jung Yoo Mi', 'Noh Min Woo']"
756,Arthdal Chronicles Part 1: The Children of Prophecy,Netflix tvN,['Kim Won Suk'],"['Kim Young Hyun', 'Park Sang Yeon']",2019-06-01,2019-06-16,"Saturday, Sunday",2019,6,800.0,"Set in the fictional land of Arthdal during ancient times(bronze age). Eun Seom was born with a fate to bring disaster to Arthdal, which leads him and his mother, who wants to save him, to endure hardships. Finally, they decide to leave and travel together to a better place. Although Eun Seom grows up in the new land, he is seen as an outcast because he is different from the land's natives. Ta Gon is a war hero of Arthdal. He has paved the way for Arthdal to become a prosperous city and nation, and he is the strongest warrior in Arthdal. He dreams of becoming the first king of Arthdal.Tan Ya was born with the same fate as Eun Seom. She is the next great mother of the Wahan Tribe. But she has difficulty mastering the dance of the great mother and hasn't had a single dream since the Eun Seom appeared in their village. Taealha is the daughter of the head of the Hae tribe. She has greater ambitions.(Source: AsianWiki)","['Kim Ok Bin', 'Song Joong Ki', 'Kim Ji Won', 'Jang Dong Gun']"
757,What Happened to Mirae?,,,,2019-05-31,2019-09-13,Friday,2019,9,100.0,A story of a college student named Han Mi Rae who gets stuck in a time loop on the last day of her trip to Japan after meeting a guy named Dong Joon.(Source: MyDramaList) ,"['Han Yi Su', 'Kang In']"
758,Love Vlog,,,,2019-05-28,2019-07-25,,2019,6,100.0,,"['Kang Yul', 'Kim Seo An', 'Choi Kyung Hoon', 'Jo Hye Won']"
759,In-Out Sider,vLive,,,2019-05-28,2019-06-19,"Tuesday, Wednesday",2019,8,90.0,Two high school boys growing and getting mature together. They are thinking about their dreams and future.(Source: kpopmap) ,"['Lee Eun Bi', 'Lim Se Jun', 'Seola', 'Kim Jae Hoon']"
760,The Wind Blows,jTBC,"['Jung Jung Hwa', 'Kim Bo Kyung']",['Hwang Joo Ha'],2019-05-27,2019-07-16,"Monday, Tuesday",2019,16,262.0,“The Wind Blows” is a story about a man who decided to divorce his beloved wife after suffering from Alzheimer’s disease and a woman who decided to divorce her husband to have children. The plot unfolds six years later when they reunite.,"['Kim Ga Eun', 'Kim Ha Neul', 'Kim Sung Cheol', 'Kam Woo Sung']"
761,One Spring Night,MBC Netflix,['Ahn Pan Seok'],['Kim Eun'],2019-05-22,2019-07-11,"Thursday, Wednesday",2019,32,66.0,"Feeling trapped in a stale four-year relationship and reluctant to take the next step into marriage, Lee Jung In stumbles into Yu Ji Ho's pharmacy one morning, nursing a hangover after a night of drinking with her friend. As she tries to reassemble herself before going to work, Jung In discovers that she has forgotten her wallet and cannot pay. Ji Ho kindly helps Jung In, despite her prickly personality. What begins as an innocent daily interaction, develops into a deeper attachment as the two find themselves drawn to one another. They embark on a secret friendship while navigating the minefield of familial and societal expectations.","['Jung Hae In', 'Han Ji Min', 'Kim Joon Han']"
762,Angel's Last Mission: Love,KBS2,['Lee Jung Sub'],['Choi Yoon Kyo'],2019-05-22,2019-07-11,"Wednesday, Thursday",2019,32,66.0,"Lee Yeon Seo, is a cynical and arrogant ballerina. She is the prima ballerina, but after an accident she has to give up her dream. After her parents' sudden death, she doesn’t trust anyone since there are a lot of people lurking around her and her inherited money.  Because of her distrust and arrogance, she is unable to love anyone. Kim Dan is an optimistic, carefree angel who is always getting into trouble. In order to return to heaven, he is tasked with a mission to find true love for the talented but emotionally distant ballerina.","['Lee Dong Gun', 'Kim Myung Soo', 'Shin Hye Sun', 'Kim  Bo Mi']"
763,Engineering Sensibility,,,,2019-05-21,2019-06-07,"Tuesday, Friday",2019,6,80.0,,"['Lee Yoo Jin', 'Kim Seung Woo', 'Yeon Seung Ho', 'Kim Hyun Ryong', 'Haesol']"
764,Anniversary Anyway,,,,2019-05-21,2019-07-05,"Tuesday, Friday",2019,14,30.0,"“Anniversary Anyway” is a Naver V original web drama that tells the story of six teenagers who are experiencing first love as they each get ready to celebrate an anniversary.Hongseok has taken on the role of a sharp-minded 18-year-old boy named Hong Woo Jae who is a hopeless romantic for Cha Se Yi. Gyujin will play Gong Doo Jin, a boy who finds love more difficult than everything else in the world. ","['Yang Hong Seok', 'Kim Na Yun', 'Park Ji Ye', 'Kim Min Seo', 'Lee Jae Seok', 'Dam Woo']"
765,Shady Mom-in-Law,SBS,['Lee Jung Hoon'],['Kim In Kang'],2019-05-20,2019-11-08,"Monday, Tuesday, Wednesday, Thursday, Friday",2019,123,16.0,"Jenny works as a fashion designer and she is successful at her job. She has a very close relationship with her mother Soo Jin. Her mother wants Jenny to marry Man Soo, but Jenny does not like Man Soo and ignores him. Jenny happens to meet Eun Suk. They fall in love with each other at first sight. Eun Suk has a warm and quiet personality, but he believes in doing the right thing. He is from a wealthy family. They decide to get married, but Jenny's mother Soo Jin opposes their marriage.(Source: AsianWiki)","['Kim Jung Hyun', 'Park Jin Woo', 'Kim Hye Sun', 'Shin Da Eun', 'Ahn Yun Hong', 'Son Woo Hyeok']"
766,Kim Is a Genius,jTBC,,,2019-05-17,2019-07-19,Friday,2019,10,90.0,“Kim Is a Genius” is about the strange things that happen when a viral marketing company starts using a make-believe app. ,"['Choi Moon Hee', 'Yoo Young Jae', 'Park Soo Young', 'Jung Sung Ho']"
767,My Absolute Boyfriend,SBS Viki,['Jung Jung Hwa'],['Yang Hyuk Moon'],2019-05-15,2019-07-11,"Wednesday, Thursday",2019,40,52.0,"Eom Da Da is a special effects make-up artist who has been secretly dating Ma Wang Joon, an A-class actor, for 7 years. After a sequence of incidents that damaged Da Da's belief in her love, she decides to break up with Wang Joon. With a heart barely healed after the breakup, she ends up meeting Young Goo, a humanoid robot programmed to be a perfect boyfriend. Young Goo begins to develop human emotions and gets involved in a love triangle with Wang Joon and Da Da.(Source: MyDramaList)~~ Adapted from the manga ""Absolute Boyfriend"" (絶対彼氏) by Watase Yu (渡瀬悠宇).","['Hong Jong Hyun', 'Bang Min Ah', 'Yeo Jin Goo', 'Hong Seo Young', 'Choi Sung Won']"
768,Voice Season 3: City of Accomplices,OCN,['Nam Ki Hoon'],['Ma Jin Won'],2019-05-11,2019-06-30,"Saturday, Sunday",2019,16,225.0,Emergency 112 call center members deal with an international evil cartel. The group is involved in the internet's dark web.(Source: AsianWiki) ,"['Lee  Ha Na', 'Lee Jin Wook']"
769,Sweat Romance,,,,2019-05-08,2019-05-22,,2019,5,96.0,,"['Ko Jae Hyun', 'Ki Eun Soo', 'Jo Hyung Joo', 'Hwang Min Hwan']"
770,Save Me Season 2,OCN,['Lee Kwon'],['Seo Joo Yeon'],2019-05-08,2019-06-27,"Wednesday, Thursday",2019,16,244.0,"With their municipality scheduled to be flooded to make way for the construction of a new dam, the devout denizens of a rural village have placed their faith in Choi Gyung Seok, a church elder who promises to relocate the flock. Choi tells the villagers they will build a church and a new housing development where they will all be able to live together after the town is completely submerged. He also says that only 144,000 people can go to heaven and that church offerings are mandatory if one wants to ""secure their spot."" Even the town's much-revered Reverend Sung, a young and good-looking minister who seemingly has the ability to heal the sick, approves of Choi's plans.Behind his guise of devotion, however, Choi is a practiced con man posing as a representative of a fake religion; his true aim is to defraud the villagers of their resettlement compensation. The only obstacle to the scheme is Kim Min Chul, a skeptical outcast who accidentally discovers evidence of Choi's past misdeeds and suddenly finds himself becoming the center of resistance against the church institution.(Source: Wikipedia)~~ Remake of the South Korean animated film “The Fake” [2013].","['Esom', 'Chun Ho Jin', 'Kim Young Min', 'Uhm Tae Goo']"
771,Abyss,Netflix tvN,['Yoo Je Won'],['Moon Soo Yeon'],2019-05-06,2019-06-25,"Monday, Tuesday",2019,16,225.0,"“Abyss” is about a man and a woman who tragically die and are given another chance at life through soul-reviving marbles in a magical abyss.Go Se Yeon was a tough, accomplished, and unrivaled beautiful female prosecutor who worked in the Seoul District public Office but gets into a fatal accident and dies. However, due to the mysterious magical marble—Abyss—Go Se Yeon is revived, but now in a totally different appearance. Go Se Yeon now possesses a common appearance based on how “good” her spirit was in her previous life.Cha Min was the highly intelligent heir to Korea’s top cosmetics company but was also a smart, humble, and kind-hearted man. Although he has both the brains and an astounding amount of wealth, he considers himself unattractive and is insecure about his looks. Like Go Se Yeon, Cha Min gets into an accident and dies. Due to the mysterious magical marble—Abyss—he comes back to life with a different appearance as an exceedingly handsome man just as bright as the spirit he had in his previous life.Go Se Yeon and Cha Min begin to work as a lawyer and an administrator at a private law firm and decide to investigate the magical incident. Romance blooms in the office as the two intertwine together to accept their same fate.(Source: AsianWiki, Soompi)","['Ahn Hyo Seop', 'Park Bo Young']"
772,The Secret Life of My Secretary,SBS,['Lee Kwang Young'],['Kim Jung Ah'],2019-05-06,2019-06-25,"Monday, Tuesday",2019,32,66.0,"Do Min Ik is an intelligent, perfectionist man with a heart of stone and the Chief of Team 1 at T&T Mobile Media who always relies on his secretary, the hot-tempered Jung Gal Hee. Although she diligently carries out the tasks her mean boss instructs her to do, she does not hold back in saying what she wishes to say. Will an office romance blossom?(Source: AJ at MyDramaList) ","['Jin Ki Joo', 'Kim Young Kwang', 'Koo Ja Sung', 'Kim Jae Kyung']"
773,Different Dreams,MBC,['Yoon Sang Ho'],['Jo Gyoo Won'],2019-05-04,2019-07-13,Saturday,2019,40,40.0,"A turning point in Korean history, one never to be forgotten is presented in this engaging historical drama, celebrating its 100th anniversary. In 1919, during the Japanese colonial period, two events paved the way for the independence of Korea, the March 1st Movement and the establishment of the Korean Provisional Government. And with it, a covert armament for freedom was born, the Heroic Corps. Historically and in the drama, the man leading the corps goes by the name of Kim Won Bong, his real name only a few people know. He rarely stays in one area for more than two hours and sleeps for only short periods at a time. With fiery passion in his heart, he moves about swiftly and dreams for his country's independence. Lee Young Jin a Korean woman raised by a Japanese military doctor follows in her adopted father's footsteps, and through a series of events, attends a prestigious medical university in Shanghai. She returns to Joseon and becomes the first female surgeon. The two of them cross paths, and although they follow different ideologies, Won Bong soon realizes his need for her and begins to regret sending her deep into enemy territory. These two characters will walk together, sometimes run, sometimes fall, only to get back up again to chase their dreams. Bearing with them the pain and suffering of the historical events that shaped Korea's independence, they hope to instil the past so that it will never be forgotten.(Source: Viki)","['Yoo Ji Tae', 'Im Joo Hwan', 'Lee Yo Won', 'Nam Gyu Ri']"
774,The Nokdu Flower,SBS,['Shin Kyung Soo'],['Jung Hyun Min'],2019-04-26,2019-07-13,"Friday, Saturday",2019,48,44.0,"Set during the Donghak Peasant Revolution (1894-1895), two half-brothers find themselves on opposing sides of the conflict. Baek Yi Kang is the first son of a prominent family whose wealthy father is a notorious local government official, while his mother comes from the lowest class. His mother's low social standing and being born out-of-wedlock cause people to look down upon him. Baek Yi Hyun is Yi Kang’s younger half-brother who is handsome, smart, and polite. Yi Hyun has everything and treats his half-brother with respect. Song Ja In is the only daughter of the head of a large peddlers’ group, who owns the Jeonjoo Yeokak Inn, where goods are also sold. Ja In has courage and charisma and remains calm under pressure. She dreams of becoming the best merchant in Joseon.(Source: AsianWiki)","['Choi Moo Sung', 'Yoon Shi Yoon', 'Han Ye Ri', 'Jo Jung Suk']"
775,A-Teen Season 2,Naver TV Cast vLive,['Han Soo Ji'],['Kim Sa Ra'],2019-04-21,2019-06-27,"Thursday, Sunday",2019,20,45.0,Season 2 of “A-TEEN” will focus on the changes in the lives of the lead characters as they approach the ages of 18 and 19 (by Korean reckoning). The show will realistically showcase the conflicts and worries the characters will have ahead of what seems like the greatest hurdle in their lives—the college entrance exam. It will also realistically display the many choices they will make in the process of preparing for the exam.,"['Kang  Min Ah', 'Ryu Eui Hyun', 'Kim Soo Hyun', 'Choi Bo Min', 'Kim Dong Hee', 'Lee Na Eun']"
776,My First First Love,Netflix,['Oh Jin Suk'],['Kim Ran'],"Apr 18, 2019","Apr 18, 2019",,2019,8,375.0,"A group of Yoon Tae Oh’s friends suddenly move into his house for their own personal reasons, where they experience love, friendships, and struggles. Song I and Tae Oh have been friends since they were three years old; Choi Hoon is an aspiring theater actor; Ga Rin is an heiress to a rich family.When Song I meets another friend of Tae Oh—Do Hyeon, who acts cold to girls and works several jobs—their friendship is tested.","['Jung Jin Young', 'Jung Chae Yeon', 'Kang Tae Oh', 'Choi Ri', 'Kim Ji Soo', 'Hong Ji Yoon']"
777,Her Private Life,tvN,['Hong Jong Chan'],['Kim Hye Young'],2019-04-10,2019-05-30,"Wednesday, Thursday",2019,16,281.0,"A dedicated professional, Sung Deok Mi lives for her work as an art gallery curator. Devoting herself to her work, she is exceptional in every way, save one. Beneath that cool, professional facade, Deok Mi carries a dark secret. A secret she desperately wants to keep from the world. A secret that has driven lovers away. A secret that rules every moment of her personal life...Sung Deok Mi is the ultimate Cha Shi An fangirl. The devoted manager of a Shi An fansite, Deok Mi eats, breathes, and sleeps for Shi An. He is her sun, her moon. Her entire universe revolves around him. This is the secret Deok Mi must hide from the world. And hide it she does. At least until Ryan Gold, the art gallery’s new director, saunters into her life. A once famous painter, the former artist turned director considers himself an indifferent being, unconcerned with the lives of others. But when he uncovers Deok Mi’s secret, everything changes.(Source: Viki)~~ Adapted from the web novel “Noona Fan Dot Com” (누나팬닷컴) by Kim Sung Yeon (김성연).","['Park Min Young', 'Kim Jae Wook']"
778,Camellia,,,,2019-04-09,2019-05-07,Tuesday,2019,5,120.0,"A webdrama about the pain, the conflict, and the resolutions of the descendants of the 'Yeosun case' that occurred in 1948.(Source:hancinema) ",
779,I Hate Going to Work,KBS2,['Seo Joo Wan'],['Park So Young'],2019-04-09,2019-07-02,Tuesday,2019,12,295.0,A slice-of-life office drama about people who don't want to go to work that will resonate with everyday office workers.(Source: HanCinema) ,"['Do Won', 'So Ju Yeon', 'Han Soo Yeon', 'Kim Dong Wan']"
780,Special Labor Inspector Jo,MBC,"['Park Won Gook', 'Sung Chi Wook']",['Kim Ban Di'],2019-04-08,2019-05-28,"Monday, Tuesday",2019,32,66.0,"Social satire drama about punishing the ""haves"" of society. It follows Jo Jin Gap, a man who used to be a member of the national judo team, and whose dream of becoming a physical education teacher is dashed when he gets kicked out for his temper. Jin Gap then becomes a civil servant who puts safety first, and works as a labor inspector for the Ministry of Employment and Labor.(Source: HanCinema) ","['Kim Dong Wook', 'Park Se Young', 'Kim Kyung Nam', 'Ryu Deok Hwan']"
781,Beautiful World,jTBC Viki,['Park Chan Hong'],['Kim Ji Woo'],2019-04-05,2019-05-25,"Friday, Saturday",2019,16,225.0,"This drama is about a boy on the edge of life and death, and his family's quest to find the truth.  Amidst the lies and secrets, mistrust and pain, the family looks for hope in this crazy world.  Mu Jin, is a teacher and a father. His wife, In Ha, runs 'Ho Ho Bakery' and they have a 9th-grade son and an 8th-grade daughter.  For the sake of their kids' education, they move to a different neighborhood. One day, at their new competitive school, Sun Ho gets into an accident, causing him to become brain dead.  The father and mother, filled with great guilt and rage because of the accident, investigate to find out what happened to cause the accident.  Su Ho, Sun Ho's baby sister, also sets out on her own to find out the truth behind her brother's accident.(Source: JTBC)","['Oh Man Suk', 'Park Hee Soon', 'Choo Ja Hyun', 'Nam  Da Reum', 'Cho Yeo Jung', 'Kim Hwan Hee']"
782,All-Boys High,vLive,,,2019-04-04,2019-05-09,,2019,10,24.0,Two high school boys growing and getting mature together. They are thinking about their dreams and future. ,"['Lee Seung Hyub', 'Kim Jae Hyun']"
783,How to Hate You,jTBC,,,2019-04-01,2019-04-02,"Monday, Tuesday",2019,6,200.0,"The drama follows the dating adventures of Oh Mi Ri, a college freshman who finds herself struggling to navigate love and friendship on campus.","['Lee Jong Won', 'Na Jae Min', 'Kim Ji In', 'Kim Yoo Jin']"
784,My Fellow Citizens!,KBS2,['Kim Jung Hyun'],['Han Jung Hoon'],2019-04-01,2019-05-28,"Monday, Tuesday",2019,36,58.0,"Yang Jung Kook is a veteran conman, but he has never been arrested. One day, his girlfriend suddenly runs off with the money they were going to use for their marriage. Yang Jung Kook is extremely upset and he goes out to drink. He meets Kim Mi Young. She is going through a hard time herself because of her boyfriend's cheating ways. Yang Jung Kook tells her that he runs a business and Kim Mi Young tells him that she works for a small company. Kim Mi Young is actually a detective. They find comfort with each other and they develop a relationship romantically. On their wedding day, Kim Mi Young reveals to Yang Jung Kook that she is actually a detective.Meanwhile, Park Hoo Ja is a mysterious woman. She runs a private loan business that she inherited from her father. Her father was swindled by Yang Jung Kook. Park Hoo Ja finds Yang Jung Kook and blackmails him into running for a national assembly seat.(Source: AsianWiki)","['Choi Si Won', 'Lee Yoo Young', 'Kim Min Jung']"
785,I Started Following Romance,,['Hong Chung Gi'],,2019-03-29,2019-04-30,"Tuesday, Friday",2019,10,48.0,"“I Started Following Romance” combines the love story of five men and women with various Instagram functions, such as DM (direct messaging), Instagram Story, comments, likes, hashtags, and more.","['Kim Na Hyun', 'Choi Jung Woo', 'Joo Eun']"
786,The Banker,MBC,['Lee Jae Jin'],['Bae Sang Wook'],2019-03-27,2019-05-16,"Wednesday, Thursday",2019,32,66.0,"It tells the story of a bank auditor pursuing justice and policy changes at a time when an economic bubble is collapsing. No Dae Ho is an honest and sincere man. He works as a branch manager at Daehan Bank, which is located in a small city. The branch is on a soon-to-be shutdown list. Surprisingly, No Dae Ho is promoted to the auditor at the bank’s headquarters in Seoul. No Dae Ho then faces corruption at the bank.(Source: koreandrama.org)~~ Adapted from the manga “Kansayaku Nozaki Shuhei” written by Ryouka Shuu and illustrated by Shigeru Noda.","['Kim Tae Woo', 'Kim Sang Joong', 'Chae Shi Ra', 'Yoo Dong Geun']"
787,What a Wonderful World,,,,2019-03-26,2019-04-18,"Tuesday, Thursday",2019,8,68.0,,['Han Ji Hyun']
788,Eulachacha Waikiki Season 2,jTBC Viki,['Lee Chang Min'],['Kim Ki Ho'],2019-03-25,2019-05-14,"Monday, Tuesday",2019,16,262.0,"Lee Joon Ki is an unpopular actor who runs the Waikiki guesthouse. However, business is bad, and the guesthouse is facing bankruptcy. In order to revive the guesthouse, Lee Joon Ki asks his friends Cha Woo Shik and Kook Ki Bong to invest their savings in it.Cha Woo Shik is a picky person who dreams of becoming a singer.  Kook Ki Bong used to be a promising baseball player but instead is now stuck playing in the minor leagues. After Lee Joon Ki's request, they all put their money into Waikiki Guesthouse and start living there together.(Source: MyDramaList)","['Shin Hyun Soo', 'Kim Ye Won', 'Mun Ka Young', 'Ahn So Hee', 'Lee Yi Kyung', 'Kim Seon Ho']"
789,Freshman,Naver TV Cast vLive,,['Lee Ye Dam'],2019-03-23,2019-04-28,"Saturday, Sunday",2019,12,25.0,It depicts the challenge of outsiders of a college to become insider. ,"['Hwang In Youp', 'Jung Bo Min', 'Lee Jung Ha', 'Moon Joo Yeon']"
790,On the Campus,,,,2019-03-23,2019-04-20,Saturday,2019,5,180.0,Yoon Hee Yeol dreams of being a singer. Yoo Eun Ho is an aspiring writer. These college students and their friends try to find the way towards their dreams.(Source: MyDramaList) ,"['Lee Yoo Jin', 'Yang Hong Seok', 'Lee Ha Young']"
791,Kill It,OCN,"['Ahn Ji Sook', 'Nam Sung Woo']","['Choi Myung Jin', 'Son Hyun Soo']",2019-03-23,2019-04-28,"Saturday, Sunday",2019,12,300.0,"Will a killer-turned-veterinarian and a detective find common ground?Kim Soo Hyun is a veterinarian who is also a professional killer. Many individuals and organizations hire him for large sums of money. Nobody in the public knows anything about him as a killer, including his age, name, and race. Animals are his only companions, but deep inside, he constantly yearns for love. He struggles to develop and maintain any pure relationships around him. One day, a client asks him to kill in exchange for information regarding his mysterious past and a conspiracy involving his birth. Do Hyun Jin was once a ballerina, but now she is a detective working in Seoul, who graduated from police academy as the most excelled. Although she looks cold and stern on the outside, she is, in fact, a very sympathetic individual. Hyun Jin trusts her instincts and isn't afraid to rely on the things around her to make a decision to the best of her abilities. She has suffered trauma but still keeps pushing forward. She starts to chase after Kim Soo Hyun as she believes he is a serial killer.What happens when both get to know that the connection between them has started years ago?(Source: AJ at MyDramaList)","['Nana', 'Roh Jeong Eui', 'Jang Ki Yong']"
792,Mother of Mine,KBS2,['Kim Jong Chang'],['Jo Jung Seon'],2019-03-23,2019-09-22,"Saturday, Sunday",2019,108,19.0,"This drama is about a story of a mother and three daughters living in modern-day Korean society. The drama conveys a message about the low fertility rate, divorce rate, and the problems of the younger generation who are avoiding marriage.While running a small beef soup restaurant, Park Sun Ja raised her three daughters Mi Sun, Mi Ri and Mi Hye alone. She still runs the restaurant to this day and her three daughters are now all grown up. Sun Ja's first daughter Mi Sun is married and she has a daughter. Mi Sun is busy working and taking care of her family. Second daughter Mi Ri cares about her mother a lot. She is confident in herself and good at her job. Mi Ri gets involved in a romantic relationship with her co-worker Tae Joo. He is the youngest son of the family that owns the company. The youngest daughter is Mi Hye. She used to be a promising novelist, but she is not any more. She helps her mother at the restaurant.(Source: AsianWiki)","['Hong Jong Hyun', 'Kim So Yeon', 'Yoo  Sun', 'Ki Tae Young', 'Kim Hae Sook', 'Kim Ha Kyung']"
793,Confession,tvN,"['Kim Chul Gyu', 'Yoon Hyun Gi']",['Im Hee Chul'],2019-03-23,2019-05-12,"Saturday, Sunday",2019,16,225.0,"A case involving the hidden truth behind the law prohibiting double jeopardy.When Choi Do Hyun was a boy, he had a heart disease. He spent most of his childhood in a hospital. He miraculously had a chance for a heart transplant. Right after the successful heart transplant surgery, his father was accused of murder. His father received the death penalty.To investigate his father's case, Do Hyun now works as a lawyer.(Source: AsianWiki)","['Lee Jun Ho', 'Shin Hyun Bin', 'Nam Ki Ae', 'Yoo Jae Myung']"
794,Noise,,,,2019-03-21,2019-05-23,Thursday,2019,7,86.0,,"['Kim Jin Woo', 'Son Ye Ji', 'Moon Ji Won']"
795,Doctor Prisoner,KBS2,"['Song Min Yeop', 'Hwang In Hyuk']",['Park Kye Ok'],2019-03-20,2019-05-15,"Wednesday, Thursday",2019,32,66.0,"Doctor Prisoner centers around an ace doctor in a university hospital’s emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. However, his medical license gets suspended as a result of a medical malpractice incident that arises when the hospital board director causes a ruckus. He then gets his certificate as a medical internist and applies to work at a prison, where his plan is to cozy up to all the bigshots there—business tycoons, celebrities caught for doing drugs, sports stars guilty of gambling—and to win allies, with the ultimate goal of getting revenge against the hospital that ousted him. To do so, he’ll get rid of the existing prison chief doctor and claim the spot for himself.(Source: DramaBeans)","['Kim Byung Chul', 'Choi Won Young', 'Namkoong Min', 'Kwon Na Ra']"
796,Triple Fling,,,,2019-03-14,2019-05-02,Thursday,2019,8,60.0,"Lee Se Hee never thought she'd be part of the popular clique in high school, and neither did she expect herself to be in a love square with 3 very attractive popular guys! Who is she going to choose? ","['Eom Se Ung', 'Jang Yu Bin', 'Son Sang Yeon', 'Jung Bo Min', 'Shin Jeong You']"
