actor_name,drama_num
Lee Jung Sic,1
Jang Dong Joo,1
Choi Hye Jin,1
Dylan,1
Lee Hyun Ho,1
Kim Na Yun,1
Ki Do Hoon,2
Park In Hwan,1
Kim Kwang Gyu,2
Lee Bo Hee,2
Hong Eun Hee,1
Yoon Joo Sang,1
Jeon Hye Bin,6
Kim So Hyun,8
Won Tae Min,1
Song Jae Rim,7
Cha Min Ji,1
Hyun Woo,4
Lee Joo Young,2
Moon Jung Hee,3
Eum Moon Suk,1
Lee Re,2
Choi Kang Hee,6
Park Shin Hye,3
Lee So Yeon,4
Choi Yeo Jin,5
Kyung Sung Hwan,1
Lee Sang Bo,1
Choi Yoo Hwa,3
Kim Young Ah,1
Shim Eun Woo,1
Ryu Hwa Young,6
Ahn Jung Hun,1
Lee Joo Bin,1
Lee Kyu Han,3
Hur Hyun Jun,1
So Ju Yeon,4
Yeo Hoe Hyun,3
Han Se Jin,2
Ko Jae Hyun,1
Steve Noh,1
Lee Yi Kyung,7
Shin Se Kyung,6
Park You Na,1
Lee Sang,1
Kang In Soo,1
Kim Noh Jin,1
Han Sung Yun,1
Lee Han Ik,1
Go Jun,3
Yoon Sun Woo,1
Cho Byeong Kyu,3
Ahn Suk Hwan,1
Kim Sa Rang,2
Jung Man Shik,2
Jung Da Bin,2
Noh Jong Hyun,2
Yoon Bo Mi,1
Gong Min Jung,1
Uhm Ji Won,4
Choi Ri,3
Jung Woong In,6
Kwon Sang Woo,3
Bae Sung Woo,2
Jung Woo Sung,1
Kim Joo Hyun,3
Lee Jin Sol,1
Kim Joon Kyung,1
Lee Seo Bin,1
Jung Jay,1
Eric Mun,3
Bae Suzy,4
Tae Won Seok,2
Go Ah Ra,5
Kim Jung Eun,3
Kim Dong Jun,4
Choi Chan Ho,1
Baek Soo Min,1
Jung Yu Mi,2
Yoon Sang Hyun,5
Jeong Bo Seok,1
Jeon In Hwa,2
Cheon Seung Ho,1
Yeon Je Hyung,1
Oh Dong Min,1
Shin Se Hwi,1
Park Seung Ji,1
Lee Shi Kang,3
Uhm Hyun Kyung,6
Park Bo Gum,5
Park So Dam,4
Kwon Hwa Woon,1
Yeon Jung Hoon,5
Im Ju Eun,3
Go Na Hee,1
Lee Ruby,1
Kim Young Hoon,2
Song Geon Hee,1
Lee Da In,1
Seola,1
Song Chae Yun,1
An So Jin,1
Jung Young Ki,1
Joo Bo Bi,1
Hwang Seung Eon,4
Choi Moo Sung,2
Park Geon Il,1
Hong Bi Ra,1
Lee Hyun Yi,1
Son Se Bin,1
Kim Jung Young,1
Im Hwa Young,1
Shin So Yool,2
Bae Soo Bin,4
Song Jong Ho,2
Kim Min Joon,1
Hwang Jung Eum,6
Jo Woo Ri,2
Lee Elijah,8
Ahn Nae Sang,2
Yoo Da In,2
Shim Yi Young,4
Choi Sung Jae,3
Jin Ye Sol,2
Won Ki Joon,1
Kim Do Yeon,1
Kim Min Kyu,1
Do Sang Woo,3
Bae Noo Ri,2
Shin Jae Ha,3
Won Mi Kyung,1
Kang Ji Young,1
Yoon Gyung Ho,1
Han Gi Chan,1
Kim Eung Soo,2
Park Shi Hoo,5
Sung Hyuk,2
Tae In Ho,1
Park Ye Jin,1
Jung So Ri,1
Park Joon Mok,1
Kim Young,1
Moon Bo Ryung,2
Hyun Jyu Ni,1
Lee Jae Hwang,3
Kim Hyung Beom,1
Kim Dong Hee,1
Yoo In Young,5
Jin Se Yeon,6
Lee Jung Jin,2
Jung Eun Chae,2
Lee Min Ho,2
