eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,actor_type_real,actor_type,,,child_actor
Heo Won Seo,1,허원서,0,16-Nov-01,4,,0,0,탤런트,"허원서
Won Seo Heo
탤런트",,,
Kim Jung Hyun,7,김정현,0,05-Apr-90,11,,0,0,"영화배우,탤런트","김정현
영화배우, 탤런트",,,
Im Soo Hyang,8,임수향,1,19-Apr-90,21,,0,0,"영화배우,탤런트","임수향
영화배우, 탤런트",,,
Kim Da Som,5,김다솜,1,06-May-93,9,,0,0,탤런트,"김다솜
탤런트",,,
Ahn Woo Yeon,3,안우연,0,07-Jan-91,19,,0,0,탤런트,"안우연
탤런트",,,
Kang So Ra,4,강소라,1,18-Feb-90,13,,0,0,"영화배우,탤런트","강소라
Kang So Ra
영화배우, 탤런트",,,
Jang Seung Jo,9,장승조,0,13-Dec-81,16,,0,0,탤런트,"장승조
Jang Seung Jo
탤런트",,,
Jeon Do Yeon,3,전도연,1,11-Feb-73,17,,0,0,영화배우,"전도연
영화배우",,,
Jung Kyung Ho,9,정경호,0,31-Aug-83,23,,0,0,"탤런트,영화배우","정경호
탤런트, 영화배우",,,
Kim Min Jae,8,김민재,0,01-Nov-96,20,2015,0,0,축구선수,"김민재
축구선수",,,0
Kim Hyang Gi,4,김향기,1,09-Aug-00,13,,0,0,"영화배우,탤런트","김향기
영화배우, 탤런트",,,
Kim Sang Kyung,6,김상경,0,01-Jun-72,22,,0,0,"영화배우,탤런트","김상경
영화배우, 탤런트",,,
Kang Young Seok,1,강영석,0,12-Aug-91,10,,1,0,"연극배우,탤런트","강영석
연극배우, 탤런트",,,
Woo Da Vi,2,우다비,1,13-Oct-99,8,,0,0,탤런트,"우다비
탤런트",,,
Lee Bo Young,5,이보영,1,12-Jan-79,26,,0,0,"탤런트,영화배우","이보영
탤런트, 영화배우",,,
Jo Sung Ha,5,조성하,0,08-Aug-66,28,,0,0,"탤런트,영화배우","조성하
탤런트, 영화배우",,,
Son Na Eun,4,손나은,1,10-Feb-94,15,,0,0,탤런트,"손나은
탤런트",,,
Han Joon Woo,2,한준우,0,28-Mar-84,11,,0,0,영화배우,"한준우
영화배우",,,
Jeon Hye Jin,4,전혜진,1,10-Aug-76,7,,0,0,"탤런트,영화배우","전혜진
탤런트, 영화배우",,,
Lee Sun Kyun,4,이선균,0,02-Mar-75,22,,0,0,"영화배우,탤런트","이선균
영화배우, 탤런트",,,
Moon Chae Won,5,문채원,1,13-Nov-86,14,,0,0,"탤런트,영화배우","문채원
탤런트, 영화배우",,,
Park Hoon,4,박훈,0,27-Apr-81,Notfound,,0,0,영화배우,"박훈
영화배우",,,
Ye Ji Won,6,예지원,1,01-Feb-73,34,,0,0,"이유정영화배우,탤런트","예지원
이유정
영화배우, 탤런트",,,
Jung Yong Hwa,3,정용화,0,22-Jun-89,17,,0,1,"가수,탤런트","정용화
가수, 탤런트",,,
Cha Tae Hyun,6,차태현,0,25-Mar-76,37,,0,0,"영화배우,탤런트","차태현
영화배우, 탤런트",,,
Kwak Sun Young,4,곽선영,1,11-May-83,10,,0,0,뮤지컬배우,"곽선영
뮤지컬배우",,,
Chae Soo Bin,10,채수빈,1,10-Jul-94,14,,0,0,"탤런트,영화배우","채수빈
탤런트, 영화배우",,,
Choi Min Ho,3,최민호,0,09-Dec-91,Notfound,,0,1,"가수, 탤런트","최민호
세종시장, 전 정무직공무원",,,
Lee Sang Woon,1,이상운,0,01-Jan-92,Notfound,,1,0,"뮤지컬배우, 탤런트","이상운
Sang Woon Lee
세무사, 전 기초의원",,,
Park Hee Jung,1,박희정,1,09-Dec-91,1,,0,0,영화배우,"박희정
영화배우",,,
Yoo Yeon Seok,7,유연석,0,11-Apr-84,25,,0,0,"안연석,탤런트,영화배우","유연석
안연석, Yeon Seok Yoo
탤런트, 영화배우",,,
Mun Ka Young,6,문가영,1,10-Jul-96,30,,0,0,"영화배우,탤런트","문가영
영화배우, 탤런트",,,
Geum Sae Rok,4,금새록,1,06-Sep-92,7,,0,0,영화배우,"금새록
영화배우",,,
Jung Ga Ram,3,정가람,0,23-Feb-93,10,,0,0,"영화배우,탤런트","정가람
영화배우, 탤런트",,,
Kim Hyun Joo,7,김현주,1,24-Apr-77,32,,0,0,"탤런트,영화배우","김현주
탤런트, 영화배우",,,
Park Hee Soon,5,박희순,0,13-Feb-70,11,,1,0,"영화배우,연극배우","박희순
영화배우, 연극배우",,,
Kim Mu Yeol,5,김무열,0,22-May-82,15,,0,0,"영화배우,뮤지컬배우","김무열
영화배우, 뮤지컬배우",,,
Jung Soo Bin,2,정수빈,1,17-Aug-98,Notfound,,0,0,"영화배우, 탤런트","정수빈NO.31
두산 베어스
외야수 · 좌투좌타",,,
Go Soo,5,고수,0,04-Oct-78,Notfound,,0,0,"탤런트, 영화배우",Notfound,,,
Ahn So Hee,3,안소희,1,27-Jun-92,10,,0,0,"영화배우,탤런트","안소희
영화배우, 탤런트",,,
Ha Joon,7,하준,0,03-Apr-87,Notfound,,0,0,영화배우,"하준
Ha Jun
영화배우",,,
Lee Jung Eun,6,이정은,1,23-Jan-70,29,,1,0,연극배우,"이정은
연극배우",,,
Kim Dong Hwi,1,김동휘,0,26-Dec-95,2,,0,0,영화배우,"김동휘
Kim Dong Hwi
영화배우",,,
Seo Ji Hye,8,서지혜,1,24-Aug-84,Notfound,,0,0,영화배우,"서지혜
영화배우",,,
Hong Soo Hyun,2,홍수현,1,15-Feb-81,37,,0,1,"탤런트,가수","홍수현
탤런트, 가수",,,
Lee Sang Woo,8,이상우,0,13-Feb-80,23,,0,0,"탤런트,영화배우","이상우
탤런트, 영화배우",,,
Lee Sung Jae,4,이성재,0,23-Aug-70,24,,0,0,"영화배우,탤런트","이성재
영화배우, 탤런트",,,
Park Young Woon,1,박영운,0,18-Jan-90,5,,0,0,영화배우,"박영운
영화배우",,,
Park Jeong Woo,1,박정우,0,10-Dec-95,Notfound,,0,0,탤런트,"박정우
탤런트",,,
Jang You Sung,1,장유성,0,17-Mar-95,Notfound,,0,1,"가수,영화배우","장유성
가수, 영화배우",,,
Lee Jae Wook,5,이재욱,0,10-May-98,9,,0,0,"탤런트,영화배우","이재욱
탤런트, 영화배우",,,
Go Youn Jung,1,고윤정,1,22-Apr-96,7,,0,0,"영화배우,탤런트","고윤정
영화배우, 탤런트",,,
Hwang Min Hyun,3,황민현,0,09-Aug-95,6,,0,1,"가수,탤런트","황민현
가수, 탤런트",,,
Shin Seung Ho,4,신승호,0,11-Nov-95,9,,0,0,탤런트,"신승호
seung ho Shin
탤런트",,,
Oh Na Ra,6,오나라,1,26-Oct-74,34,,0,0,"영화배우,탤런트","오나라
영화배우, 탤런트",,,
Yoo Ji Tae,6,유지태,0,13-Apr-76,12,,0,0,"영화배우,영화감독","유지태
영화배우, 영화감독",,,
Park Hae Soo,6,박해수,0,21-Nov-81,9,,1,0,"영화배우,연극배우","박해수
영화배우, 연극배우",,,
Jeon Jong Seo,3,전종서,1,05-Jul-94,3,,0,0,영화배우,"전종서
Jun Jong Seo
영화배우",,,
Lee Won Jong,3,이원종,0,01-Jan-66,64,,0,0,"탤런트,영화배우","이원종
탤런트, 영화배우",,,
Jang Yoon Ju,2,장윤주,1,07-Nov-80,24,,0,0,"모델,영화배우","장윤주
모델, 영화배우",,,
Kim Woo Seok,4,김우석,0,27-Oct-96,9,,0,1,"가수, 탤런트",,,,0
Kim Young Dae,4,김영대,0,02-Mar-96,15,,0,0,"탤런트,모델","김영대
탤런트, 모델",,,
Park Ju Hyun,5,박주현,1,05-Oct-94,8,,0,0,탤런트,"박주현
탤런트",,,
Lee Sun Bin,6,이선빈,1,07-Jan-94,16,,0,0,이진경탤런트,"이선빈
이진경
탤런트",,,
Han Sun Hwa,6,한선화,1,06-Oct-90,25,,0,0,탤런트,"한선화
탤런트",,,
Jung Eun Ji,4,정은지,1,18-Aug-93,25,,0,1,"가수,탤런트","정은지
가수, 탤런트",,,
Choi Si Won,6,최시원,0,07-Apr-86,32,,0,1,"가수,탤런트","시원
최시원
가수, 탤런트",,,
