,year,month,rank,song,singer,info
213,2021,01,14,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2 (tvN 목요드라마)
214,2021,01,15,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
215,2021,01,16,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
216,2021,01,17,그때 그 아인,김필,이태원 클라쓰 OST Part.6 (JTBC 금토드라마)
217,2021,01,18,내 눈물 모아,휘인 (Whee In),슬기로운 의사생활 OST Part 8 (tvN 목요드라마)
218,2021,01,19,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4 (tvN 목요드라마)
219,2021,01,20,"다시 난, 여기",백예린 (Yerin Baek),사랑의 불시착 OST Part 4 (tvN 토일 드라마)
220,2021,01,21,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3 (JTBC 금토드라마)
221,2021,01,22,내 생에 아름다운,케이윌 (K.Will),뷰티 인사이드 OST Part.4 (JTBC 월화드라마)
222,2021,01,23,너였다면,정승환,또 오해영 OST Part 5 (tvN 월화드라마)
223,2021,01,24,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12 (tvN 목요드라마)
224,2021,01,25,희재,성시경,국화꽃 향기 OST
225,2021,01,26,아직 너의 시간에 살아,이수현,사이코지만 괜찮아 OST Part.4 (tvN 토일드라마)
226,2021,01,27,어떤 날엔,김재환,사랑의 불시착 OST Part 5 (tvN 토일 드라마)
227,2021,01,28,나의 어깨에 기대어요,10CM,호텔 델루나 OST Part.2 (tvN 토일드라마)
228,2021,01,29,어른,Sondia,나의 아저씨 OST Part. 2 (tvN 수목드라마)
229,2021,01,30,이제는 어떻게 사랑을 하나요,정효빈,연애의 참견 시즌3 OST - Part.6
230,2021,01,31,눈의 꽃,박효신,눈의 꽃
231,2021,01,32,내일은 고백할게,태연 (TAEYEON),브람스를 좋아하세요? OST Part.5 (SBS 월화드라마)
232,2021,01,33,그대 고운 내사랑,어반자카파,슬기로운 의사생활 OST Part 5 (tvN 목요드라마)
233,2021,01,34,My Way,이수 (엠씨더맥스),돈꽃 OST PART.1 (MBC 주말드라마)
234,2021,01,35,그리움,찬희 (SF9),여신강림 OST Part 5 (tvN 수목드라마)
235,2021,01,36,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1 (SBS 월화드라마)
236,2021,01,37,Beautiful,Crush,도깨비 OST Part 4 (tvN 금토드라마)
237,2021,01,38,있잖아,폴킴,연애플레이리스트2 OST Part.2
238,2021,01,39,응급실,izi,쾌걸춘향 OST
239,2021,01,40,재회 (再會),김세정,경이로운 소문 OST Part 2 (OCN 주말드라마)
240,2021,01,41,잘 지내요,정승환,라이프 OST Part. 6 (JTBC 월화드라마)
241,2021,01,42,그대는 어디에,김나영,그대는 어디에 (런 온 OST Part.8) (JTBC 수목드라마)
242,2021,01,43,너무 보고싶어,어쿠스틱 콜라보,연애의 발견 OST Part 6 (KBS 월화드라마)
243,2021,01,44,내 목소리 들리니,벤,호텔 델루나 OST Part.9 (tvN 토일드라마)
244,2021,01,45,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)
245,2021,01,46,둘만의 세상으로 가,Crush,사랑의 불시착 OST Part 10 (tvN 토일 드라마)
246,2021,01,47,처음부터 너와 나,볼빨간사춘기,군주 - 가면의 주인 OST Part.2 (MBC 수목드라마)
247,2021,01,48,Done For Me,펀치 (Punch),호텔 델루나 OST Part.12 (tvN 토일드라마)
248,2021,01,49,괜찮아,다운,경이로운 소문 OST Part 3 (OCN 주말드라마)
249,2021,01,50,소녀,오혁,응답하라 1988 OST Part 3 (tvN 금토드라마)
250,2021,01,51,모르시나요,다비치,아이리스Ⅱ OST Part 1 (KBS 수목드라마)
251,2021,01,52,이 사랑,다비치,태양의 후예 OST Part.3 (KBS2 수목드라마)
252,2021,01,53,잊었니,소향,오! 삼광빌라! OST Part.9 (KBS2 주말드라마)
253,2021,01,54,걱정말아요 그대,이적,응답하라 1988 OST Part 2 (tvN 금토드라마)
254,2021,01,55,All For You,서인국 & 정은지,응답하라 1997 Love Story Part 1 (tvN 화요드라마)
255,2021,01,56,Into the Unknown,Idina Menzel & AURORA,Frozen 2 (겨울왕국 2 OST)
256,2021,01,57,잊지 말아요,백지영,잊지 말아요 - 아이리스 (Iris) OST Part.1
257,2021,01,58,어느 날 우리,김필,스타트업 OST Part.3 (tvN 주말드라마)
258,2021,01,59,Lonely Night,권진아,슬기로운 의사생활 OST Part 1 (tvN 목요드라마)
259,2021,01,60,조금 더 외로워지겠지,김나영,검색어를 입력하세요 WWW OST Part 7 (tvN 수목드라마)
260,2021,01,61,영화 속에 나오는 주인공처럼,펀치 (Punch),동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6
261,2021,01,62,See You Again (Feat. Charlie Puth),Wiz Khalifa,분노의 질주: 더 세븐 (Fast & Furious 7) OST
262,2021,01,63,상사화,안예은,역적 : 백성을 훔친 도적 OST Part.5 (MBC 월화드라마)
263,2021,01,64,꿈처럼,벤,또 오해영 OST Part 2 (tvN 월화드라마)
