,daily_views,director_drama_num,screenwriter_drama_num,tot_eps,duration,season_Spring,season_Summer,season_Winter,week_of_weekend,org_terrestrial_TV,org_cable_TV,org_OTT,man_cnt,woman_cnt,play_actor,child_actor,singer_actor,drama_cnt_naver,Romance,Drama,Comedy,Mystery,Thriller,Life,Fantasy,Action,Youth,Business,Family,Historical,Supernatural,Law,Political,Psychological,Crime,Medical,etc
151,95218,9,1,16,65,1,0,0,0,1,0,0,2,1,0,0,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,69661,3,3,16,70,0,0,1,1,0,1,0,2,3,1,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,249126,8,1,10,62,0,0,1,0,0,0,1,2,2,2,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,36438,2,1,8,25,0,0,1,0,0,1,0,2,0,0,0,1,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,54774,4,1,12,56,0,0,1,0,0,2,0,2,2,0,0,0,16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,5437,1,2,10,17,0,0,1,0,0,1,0,2,2,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,41578,2,3,12,60,0,0,1,0,0,0,1,2,1,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,134794,8,4,12,78,0,0,1,0,0,1,1,0,3,2,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,35676,1,4,10,60,0,0,1,0,0,0,2,3,2,2,0,0,19,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
164,51848,5,1,16,70,0,0,1,1,0,1,1,2,2,0,0,1,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,112,1,1,6,17,0,0,1,0,1,0,0,3,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
168,42550,6,2,16,60,0,0,1,0,0,0,2,1,1,0,0,1,16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,86911,1,1,12,28,0,0,1,1,0,0,1,1,1,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170,79904,5,1,12,70,0,0,1,1,1,0,0,2,1,0,0,0,13,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,54696,4,4,8,60,0,0,1,1,1,0,0,3,1,0,1,1,25,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173,131184,1,1,8,30,0,0,1,0,0,1,1,1,1,0,0,1,24,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
174,113673,1,1,8,50,0,0,1,0,0,0,1,2,1,0,0,1,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,21194,4,1,16,70,0,0,1,0,1,0,0,2,2,0,1,2,17,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
176,106882,5,3,16,70,0,0,1,0,0,1,0,1,3,0,0,1,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,42877,2,3,16,75,0,0,1,1,0,1,1,2,2,0,0,2,20,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178,116647,3,2,16,90,0,0,1,1,0,1,0,3,3,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
179,136994,1,1,5,26,0,0,1,0,1,0,0,0,4,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,52748,1,2,12,70,0,0,1,1,0,1,1,3,1,0,0,1,20,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,52679,2,2,32,60,0,0,1,1,1,0,0,2,2,0,0,0,39,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
183,77377,4,1,16,70,0,0,1,1,0,2,0,3,3,0,1,0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,75854,5,2,12,25,0,0,1,0,0,1,1,1,2,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,47665,4,1,20,70,0,0,1,0,0,1,0,2,3,0,0,0,24,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
187,61209,2,2,16,65,0,0,0,0,0,2,0,2,2,0,0,1,25,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,69444,4,2,8,70,0,0,0,1,0,1,0,2,0,0,0,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
189,17042,3,1,16,63,0,0,0,0,1,1,0,3,3,0,0,1,9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
190,106859,1,1,13,20,0,0,0,1,0,2,0,1,3,0,0,2,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
